Start,Destination,Via Road,Distance (km),Signals,Congestion Count,Waterlogging Count,Congestion Points,Waterlogging Points,Route Type,Time (Car),Time (Bike),Time (Cycle),Time (Bus),Expense (Car),Expense (Bike),Expense (Cycle),Expense (Bus),Pollution (Car),Pollution (Bike),Pollution (Cycle),Pollution (Bus),Total Time
"Govindpuri, Delhi","Seelampur, Delhi",Outer Ring Road,49.35,11,3,2,"Captain Gaud Marg, Azadpur Flyover, Kashmiri Gate Ring Road","Shankar Road, Aurobindo Marg",Internal Road,126.72,99.84,230.91,116.03,359.24,209.32,0.49,32.91,796.89,527.65,-0.46,639.21,42.29
"Govindpuri, Delhi","Seelampur, Delhi",NH48,37.09,7,3,3,"Under IIT Flyover, MB Road (Saket Metro to Khanpur), Kalindi Kunj Road","SSN Marg, Outer Ring Road, Boulevard Road",Main Road,101.45,81.5,179.13,94.04,272.07,154.69,0.37,21.99,621.77,415.05,-0.25,499.31,46.47266666666667
"Govindpuri, Delhi","Seelampur, Delhi",Najafgarh Road,47.45,11,2,3,"Azadpur Flyover, Britannia Chowk","Mathura Road, Akbar Road, Aurobindo Marg",Main Road,121.8,95.87,222.2,111.47,351.06,201.61,0.47,15.38,787.94,536.54,-0.19,621.22,44.163333333333334
"Govindpuri, Delhi","Seelampur, Delhi",Rohtak Road,16.17,8,4,2,"Under IIT Flyover, Captain Gaud Marg, Rohini West Metro Station, Lala Lajpat Rai Marg near CGO Complex","Akbar Road, Mathura Road",Highway,61.52,51.84,97.86,56.32,123.49,74.36,0.16,8.6,315.81,216.57,-0.31,255.18,43.078
"South Extension, Delhi","Bhikaji Cama Place, Delhi",Mehrauli-Gurgaon Road,36.55,8,4,3,"Yusuf Sarai Market, Captain Gaud Marg, Kashmiri Gate Ring Road, Under IIT Flyover","Ashoka Road, Aurobindo Marg, Shankar Road",Main Road,105.22,85.35,182.32,97.53,271.75,159.96,0.37,13.56,613.43,408.68,0.38,495.68,49.43666666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH44,14.94,8,3,2,"Kashmiri Gate Ring Road, Mukraba to Madhuban Chowk, Captain Gaud Marg","Outer Ring Road, Choudhary Fateh Singh Marg",Main Road,55.02,45.95,88.91,50.01,120.46,74.52,0.15,11.62,299.95,188.08,-0.37,256.72,39.995999999999995
"South Extension, Delhi","Bhikaji Cama Place, Delhi",DND Flyway,21.19,9,3,3,"Kalindi Kunj Road, Lala Lajpat Rai Marg near CGO Complex, Britannia Chowk","Anuvrat Marg, Tilak Marg, Akbar Road",Highway,71.09,58.7,117.98,65.23,163.84,93.28,0.21,23.83,407.15,266.08,-0.01,297.16,45.41266666666667
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH48,39.17,11,3,1,"Mukraba to Madhuban Chowk, Kalindi Kunj Road, Dwarka Link Road",Mathura Road,Internal Road,103.05,81.26,186.89,93.94,291.55,166.47,0.39,25.51,671.75,457.31,0.18,515.84,36.611333333333334
"South Extension, Delhi","Bhikaji Cama Place, Delhi",NH44,31.26,7,1,3,Britannia Chowk,"Boulevard Road, Ring Road, Dwarka Link Road",Main Road,81.69,64.66,147.71,75.11,237.29,135.26,0.31,28.92,532.88,365.6,-0.43,429.82,40.084
"Kashmere Gate, Delhi","Saket, Delhi",DND Flyway,25.58,12,2,1,"MB Road (Saket Metro to Khanpur), Dwarka Link Road",Dwarka Link Road,Main Road,72.94,57.74,130.09,64.96,189.16,111.47,0.26,25.89,481.63,314.29,-0.02,377.94,32.70533333333333
"Kashmere Gate, Delhi","Saket, Delhi",Barapullah Corridor,40.64,8,1,3,Britannia Chowk,"Shankar Road, Ring Road, Anuvrat Marg",Internal Road,101.06,79.15,186.34,93.2,304.02,167.87,0.41,30.23,670.09,454.95,0.16,560.3,40.70933333333333
"Kashmere Gate, Delhi","Saket, Delhi",NH48,17.99,5,3,1,"Adchini Village, Rohini West Metro Station, Ashram Chowk",Africa Avenue Road,Internal Road,55.23,45.23,93.71,51.23,138.58,84.27,0.18,9.71,323.44,235.92,-0.48,261.63,35.19933333333333
